"product_name","product_price","product_price_range","product_type","product_body","product_variety","product_country","product_region","product_size","product_vintage","product_closure","product_seller","product_rating"
"2024 M&J Becker Wines Hunter Valley Chardonnay","Sale price
$32.00","$31 to $40","White","Body","Chardonnay","Australia","Hunter Valley","750ml","2024","Cork","Hunter Valley",""
"2024 Mercer Wines Chardonnay","Sale price
$28.00","$30 or Less","White","Body","Chardonnay","Australia","Hunter Valley","13%","750ml","2024","Hunter Valley",""
"2024 Mercer Wines PF Pinot Gris","Sale price
$24.00","$30 or Less","White","Body","Pinot Gris/Grigio","Australia","Hilltops","750ml","2024","Screw Cap","Hilltops",""
"2023 Mercer Wines Montepulciano","Sale price
$32.00","$31 to $40","","Body","Montepulciano","Australia","Central Ranges","Halliday Wine Companion","92","14%","Central Ranges",""
"2023 Express Winemakers Drinking Wine Red","Sale price
$28.00","$30 or Less","","Body","Shiraz","Australia","Great Southern","Natural/Lo-Fi","750ml","2023","Great Southern",""
"2024 Mitchell Watervale Riesling","Sale price
$20.00","$30 or Less","White","Body","Riesling","","","SA","High Score","James Suckling
Wine Pilot
The Real Review
The Wine Front
Halliday Wine Companion","Clare Valley",""
"Discover Unico Zelo Wines Pack","Sale price
$135.00","$30 or Less","","Australian State","","","","","","","",""
"2025 Mercer Wines Bianco Vermentino","Sale price
$29.00","$30 or Less","White","Body","Vermentino","Australia","Hunter Valley","750ml","2025","Screw Cap","Hunter Valley",""
"2025 Nick Spencer Gundagai Rose","Sale price
$26.00","$30 or Less","Rosé","Body","Grenache","","","NSW","The Wine Front","93","Gundagai",""
"Garagiste Wines Masterclass Pack","Sale price
$249.00","$41 to $50","","Region","","","","","","","Mornington Peninsula",""
"2023 Head Old Vine Grenache","Sale price
$39.00","$31 to $40","","Body","Grenache","Australia","Barossa Valley","The Vintage Journal","96","14%","Barossa Valley",""
"2022 Scarborough Yellow Label Chardonnay","Sale price
$23.00","$30 or Less","White","Body","Chardonnay","Australia","Hunter Valley","Wine Pilot","90","13%","Hunter Valley",""
"Discover Gentle Folk Wines Pack","Sale price
$219.00","Australia","Adelaide Hills","Australian State","","","","","","","Adelaide Hills",""
"2024 Chatto Lutruwita Pinot Noir","Sale price
$44.00","$41 to $50","","Body","Pinot Noir","Australia","Tasmania","The Real Review","94","13%","Tasmania",""
"2022 Head Red GSM","Sale price
$25.00","$30 or Less","","Body","Grenache","","","SA","Halliday Wine Companion","93","Barossa Valley",""
"2024 The Other Wine Co Sangiovese","Sale price
$28.00","$30 or Less","","Body","Sangiovese","Australia","Adelaide Hills","750ml","2024","Screw Cap","Adelaide Hills",""
"2024 Dominique Portet Fontaine Cabernets","Sale price
$28.00","$30 or Less","","Body","Cabernet Sauvignon","","","VIC","Halliday Wine Companion","95","Yarra Valley",""
"2024 Mercer Wines PF Fizz","Sale price
$24.00","$30 or Less","Sparkling","Sub Type","","Chardonnay","","NSW","Vegan
Low Preservative","12%","Central Ranges",""
"2024 Fighting Gully Road Sangiovese","Sale price
$35.00","$31 to $40","","Body","Sangiovese","Australia","Beechworth","High Score","Halliday Wine Companion","96","Beechworth",""
"2023 Jean Foillard Morgon Cote du Py","Sale price
$99.00","$101 and Above","","Body","Gamay","France","Beaujolais","Vinous","94","750ml","Beaujolais",""
"2024 Giant Steps Yarra Valley Pinot Noir","Sale price
$38.00","$31 to $40","","Body","Pinot Noir","Australia","Yarra Valley","Women in Wine
High Score","Halliday Wine Companion
The Wine Front","95
93","Yarra Valley",""
"2023 Dune The Empty Quarter GSM","Sale price
$25.00","$30 or Less","","Body","Grenache","","","SA","The Wine Front
Halliday Wine Companion","94
95","McLaren Vale",""
"2024 Tar & Roses Pinot Grigio","Sale price
$20.00","$30 or Less","White","Body","Pinot Gris/Grigio","Australia","King Valley","Women in Wine","Halliday Wine Companion","96","King Valley",""
"2024 Cirillo Vincent Grenache","Sale price
$23.00","$30 or Less","","Body","Grenache","Australia","Barossa Valley","750ml","2024","Screw Cap","Barossa Valley",""
"2024 Garagiste Le Stagiaire Pinot Noir","Sale price
$29.00","$31 to $40","","Body","Pinot Noir","Australia","Mornington Peninsula","High Score","The Wine Front
Halliday Wine Companion","94
95","Mornington Peninsula",""
"2024 Thistledown Sands of Time Grenache","Sale price
$85.00","$51 to $100","","Body","Grenache","Australia","McLaren Vale","High Score
Vegan","The Wine Advocate
The Real Review
The Wine Front
Halliday Wine Companion
James Suckling","98
97
95","McLaren Vale",""
"2025 Shaw + Smith Sauvignon Blanc","Sale price
$29.00","$30 or Less","White","Body","Sauvignon Blanc","Australia","Adelaide Hills","The Wine Front
Wine Pilot","92","12%","Adelaide Hills",""
"2023 Envinate Palo Blanco","Sale price
$85.00","$51 to $100","White","Body","","Spain","","98","11.5%","750ml","Tenerife",""
"2024 Gentle Folk Sangiovese","Sale price
$40.00","$41 to $50","","Body","Sangiovese","Australia","Adelaide Hills","Halliday Wine Companion
The Wine Front
James Suckling","93
94","13%","Adelaide Hills",""
"2024 Elanto Vineyard Chardonnay","Sale price
$82.00","$51 to $100","White","Body","Chardonnay","Australia","Mornington Peninsula","High Score","Halliday Wine Companion","96","Mornington Peninsula",""
"2024 Stargazer Chardonnay","Sale price
$70.00","$51 to $100","White","Body","Chardonnay","Australia","Tasmania","Women in Wine","Halliday Wine Companion","96","Tasmania",""
"NV Bandini Prosecco","Sale price
$20.00","$30 or Less","Sparkling","Body","","Italy","Veneto","750ml","Cork","","Veneto",""
"2024 Wickhams Road Yarra Valley Chardonnay","Sale price
$20.00","$30 or Less","White","Body","Chardonnay","Australia","Gippsland","94
92
91","13%","750ml","Gippsland",""
"2024 Gentle Folk Chardonnay","Sale price
$45.00","$41 to $50","White","Body","Chardonnay","Australia","Adelaide Hills","The Wine Front
James Suckling","94","13%","Adelaide Hills",""
"2018 Cirillo 1850 Ancestor Vine Grenache","Sale price
$70.00","$51 to $100","","Body","Grenache","Australia","Barossa Valley","Iconic
High Score","Halliday Wine Companion
The Vintage Journal","97","Barossa Valley",""
"2023 Dune Blewitt Springs Shiraz","Sale price
$25.00","$30 or Less","","Body","Shiraz","Australia","McLaren Vale","High Score","Halliday Wine Companion
The Wine Front","95
93","McLaren Vale",""
"2024 Dog Point Sauvignon Blanc","Sale price
$27.00","$30 or Less","White","Body","Sauvignon Blanc","New Zealand","Marlborough","Halliday Wine Companion","97
94","13.5%","Marlborough",""
"2024 Giant Steps Applejack Vineyard Pinot Noir","Sale price
$100.00","$101 and Above","","Body","Pinot Noir","Australia","Yarra Valley","Women in Wine
High Score","Halliday Wine Companion
The Wine Front","750ml","Yarra Valley",""
"2024 Stefano Lubiana Primavera Pinot Noir","Sale price
$42.00","$41 to $50","","Body","Pinot Noir","Australia","","13%","750ml","2024","Derwent Valley",""
"MV Deviation Road Altair Sparkling Rosé","Sale price
$33.00","$31 to $40","Sparkling","Sub Type","Pinot Noir","Australia","Adelaide Hills","High Score
Women in Wine","Halliday Wine Companion","95
96","Adelaide Hills",""
"2024 Bondar Junto GSM","Sale price
$30.00","$31 to $40","","Body","Grenache","","","SA","The Wine Front
Halliday Wine Companion","90
95","McLaren Vale",""
"2023 Domaine Naturaliste Floris Chardonnay","Sale price
$32.00","$31 to $40","White","Body","Chardonnay","Australia","Margaret River","High Score","Halliday Wine Companion
Wine Pilot
The Weekend Australian","95
94","Margaret River",""
"2024 Timo Mayer Close Planted Pinot Noir","Sale price
$58.00","$51 to $100","","Body","Pinot Noir","Australia","Yarra Valley","Cult
Natural/Lo-Fi","Halliday Wine Companion
The Wine Front","94
96","Yarra Valley",""
"2023 BK Gower Pinot Noir","Sale price
$55.00","$51 to $100","","Body","Pinot Noir","Australia","Adelaide Hills","James Suckling","94","750ml","Adelaide Hills",""
"2022 Unico Zelo Esoterico","Sale price
$24.00","$30 or Less","Amber","Body","","Australia","Riverland","Natural/Lo-Fi
Vegan
Women in Wine","10%","750ml","Riverland",""
"2023 Domaine Naturaliste Artus Chardonnay","Sale price
$55.00","$51 to $100","White","Body","Chardonnay","Australia","Margaret River","High Score","Halliday Wine Companion
Wine Pilot
The Wine Advocate
The Wine Front","95
96","Margaret River",""
"2024 Voyager Chenin Blanc","Sale price
$27.00","White","Chenin Blanc","Country","Margaret River","","","95
94","750ml","2024","Margaret River",""
"2025 Helm Premium Riesling","Sale price
$55.00","$51 to $100","White","Body","Riesling","Australia","Canberra","The Wine Front","96","11%","Canberra",""
"2024 Cirillo Vincent Grenache","Sale price
$23.00","$30 or Less","","Body","Grenache","Australia","Barossa Valley","750ml","2024","Screw Cap","Barossa Valley",""
"2024 Giant Steps Yarra Valley Pinot Noir","Sale price
$38.00","$31 to $40","","Body","Pinot Noir","Australia","Yarra Valley","Women in Wine
High Score","Halliday Wine Companion
The Wine Front","95
93","Yarra Valley",""
"2023 Jean Foillard Morgon Cote du Py","Sale price
$99.00","$101 and Above","","Body","Gamay","France","Beaujolais","Vinous","94","750ml","Beaujolais",""
"2024 Fighting Gully Road Sangiovese","Sale price
$35.00","$31 to $40","","Body","Sangiovese","Australia","Beechworth","High Score","Halliday Wine Companion","96","Beechworth",""
"2024 Dominique Portet Fontaine Cabernets","Sale price
$28.00","$30 or Less","","Body","Cabernet Sauvignon","","","VIC","Halliday Wine Companion","95","Yarra Valley",""
"2024 Chatto Lutruwita Pinot Noir","Sale price
$44.00","$41 to $50","","Body","Pinot Noir","Australia","Tasmania","The Real Review","94","13%","Tasmania",""
"Discover Gentle Folk Wines Pack","Sale price
$219.00","Australia","Adelaide Hills","Australian State","","","","","","","Adelaide Hills",""
"2023 Head Old Vine Grenache","Sale price
$39.00","$31 to $40","","Body","Grenache","Australia","Barossa Valley","The Vintage Journal","96","14%","Barossa Valley",""
"2025 Nick Spencer Gundagai Rose","Sale price
$26.00","$30 or Less","Rosé","Body","Grenache","","","NSW","The Wine Front","93","Gundagai",""
"2025 Mercer Wines Bianco Vermentino","Sale price
$29.00","$30 or Less","White","Body","Vermentino","Australia","Hunter Valley","750ml","2025","Screw Cap","Hunter Valley",""
"2022 S.C. Pannell Sunrise 99 Grenache","Sale price
$250.00","$101 and Above","","Body","Grenache","Australia","McLaren Vale","James Suckling
The Wine Front
Halliday Wine Companion
The Wine Advocate","100","14.5%","McLaren Vale",""
"2024 Bondar Rayner Vineyard Grenache","Sale price
$38.00","$41 to $50","","Body","Grenache","Australia","McLaren Vale","High Score","The Wine Front
James Suckling
Halliday Wine Companion","94
95
96","McLaren Vale",""
"2023 In Praise Of Shadows Grenache","Sale price
$27.00","$30 or Less","","Body","Grenache","Australia","McLaren Vale","Halliday Wine Companion
The Wine Front","94
93","750ml","McLaren Vale",""
"2023 Bubb + Pooley Pinot Noir","Sale price
$65.00","$51 to $100","","Body","Pinot Noir","Australia","Tasmania","Women in Wine
High Score","The Wine Front
Halliday Wine Companion","95
96","Tasmania",""
"2022 Forest Hill Estate Cabernet Sauvignon","Sale price
$25.00","$30 or Less","","Body","Cabernet Sauvignon","Australia","Great Southern","High Score","Halliday Wine Companion
Ray Jordan","96
95","Great Southern",""
"2023 Van Higgins Free Ball Grenache Cinsault","Sale price
$39.00","$31 to $40","","Body","Grenache","","","SA","Organic","The Wine Front","McLaren Vale",""
"2024 Shaw + Smith M3 Chardonnay","Sale price
$50.00","$51 to $100","White","Body","Chardonnay","Australia","Adelaide Hills","The Wine Advocate","93","750ml","Adelaide Hills",""
"2025 Ochota Barrels Texture Like Sun Sector 12","Sale price
$40.00","$31 to $40","","Body","Pinot Noir","Australia","Adelaide Hills","Cult
Organic
Women in Wine
Natural/Lo-Fi","James Suckling","93","Adelaide Hills",""
"2024 Riposte The Dagger Pinot Noir","Sale price
$20.00","$30 or Less","","Body","Pinot Noir","Australia","Adelaide Hills","Halliday Wine Companion
The Wine Advocate","91
94","13%","Adelaide Hills",""
"2025 Stargazer Tupelo","Sale price
$37.00","$31 to $40","White","Body","Riesling","Australia","Tasmania","Women in Wine","750ml","2025","Tasmania",""
"2024 Yangarra Circle Rose","Sale price
$24.00","$30 or Less","Rosé","Body","Grenache","Australia","McLaren Vale","Organic
Biodynamic
High Score","Halliday Wine Companion","95","McLaren Vale",""
"2024 Joshua Cooper Balgownie Vineyard 1970 Block Cabernet Sauvignon","Sale price
$95.00","$51 to $100","","Body","Cabernet Sauvignon","Australia","Bendigo","The Wine Front","96","13.5%","Bendigo",""
"2021 S.C. Pannell Tempranillo Touriga","Sale price
$28.00","$30 or Less","","Body","Tempranillo","Australia","McLaren Vale","The Real Review
Halliday Wine Companion","95
92","14%","McLaren Vale",""
"2024 Lambert Chardonnay","Sale price
$36.00","$41 to $50","White","Body","Chardonnay","Australia","Yarra Valley","Cult","750ml","2024","Yarra Valley",""
"2024 Oliver's Taranga Small Batch Grenache","Sale price
$30.00","$31 to $40","","Body","Grenache","Australia","McLaren Vale","Women in Wine","Wine Pilot
The Wine Front
Halliday Wine Companion
The Real Review","93
92","McLaren Vale",""
"2025 Coriole Fiano","Sale price
$25.00","$30 or Less","White","Body","Fiano","Australia","McLaren Vale","750ml","2025","Screw Cap","McLaren Vale",""
"2023 Vanguardist Grenache","Sale price
$70.00","$51 to $100","","Body","Grenache","Australia","McLaren Vale","High Score","The Wine Front
Halliday Wine Companion
James Suckling","97
94","McLaren Vale",""
"2022 John Duval Entity Barossa Shiraz","Sale price
$45.00","$51 to $100","","Body","Shiraz","Australia","Barossa Valley","High Score","Halliday Wine Companion
The Real Review
James Suckling
Decanter
The Wine Front","96
94
95","Barossa Valley",""
"2024 Vickery Eden Valley Riesling","Sale price
$20.00","$30 or Less","White","Body","Riesling","","","SA","High Score","The Wine Front
Wine Pilot
Halliday Wine Companion","Eden Valley",""
"2023 Ahi Ka Sauvignon Blanc","Sale price
$24.00","$30 or Less","White","Body","Sauvignon Blanc","New Zealand","Marlborough","The Real Review","95","750ml","Marlborough",""
"NV Josef Chromy Sparkling","Sale price
$28.00","$30 or Less","Sparkling","Variety","","Tasmania","","750ml","Cork","","Tasmania",""
"2024 Two Tonne Tasmania TMV Pinot Noir","Sale price
$35.00","$31 to $40","","Body","Pinot Noir","Australia","Tasmania","Wine Pilot","91","750ml","Tasmania",""
"2023 Deep Woods Estate Reserve Chardonnay","Sale price
$77.00","$51 to $100","White","Body","Chardonnay","Australia","Margaret River","High Score","The Wine Front
The Wine Advocate
James Suckling
Ray Jordan","97
96
95
98","Margaret River",""
"2022 Yangarra Estate Shiraz","Sale price
$30.00","$30 or Less","","Body","Shiraz","Australia","McLaren Vale","Organic
Biodynamic
High Score","Halliday Wine Companion
The Real Review
Wine Pilot","95
93
94","McLaren Vale",""
"2025 Mercer Wines Bianco Vermentino","Sale price
$29.00","$30 or Less","White","Body","Vermentino","Australia","Hunter Valley","750ml","2025","Screw Cap","Hunter Valley",""
"2025 Nick Spencer Gundagai Rose","Sale price
$26.00","$30 or Less","Rosé","Body","Grenache","","","NSW","The Wine Front","93","Gundagai",""
"2024 Dominique Portet Fontaine Cabernets","Sale price
$28.00","$30 or Less","","Body","Cabernet Sauvignon","","","VIC","Halliday Wine Companion","95","Yarra Valley",""
"2024 Fighting Gully Road Sangiovese","Sale price
$35.00","$31 to $40","","Body","Sangiovese","Australia","Beechworth","High Score","Halliday Wine Companion","96","Beechworth",""
"2023 Jean Foillard Morgon Cote du Py","Sale price
$99.00","$101 and Above","","Body","Gamay","France","Beaujolais","Vinous","94","750ml","Beaujolais",""
"2024 Giant Steps Yarra Valley Pinot Noir","Sale price
$38.00","$31 to $40","","Body","Pinot Noir","Australia","Yarra Valley","Women in Wine
High Score","Halliday Wine Companion
The Wine Front","95
93","Yarra Valley",""
"2024 Cirillo Vincent Grenache","Sale price
$23.00","$30 or Less","","Body","Grenache","Australia","Barossa Valley","750ml","2024","Screw Cap","Barossa Valley",""
"2025 Helm Premium Riesling","Sale price
$55.00","$51 to $100","White","Body","Riesling","Australia","Canberra","The Wine Front","96","11%","Canberra",""
"2024 Voyager Chenin Blanc","Sale price
$27.00","White","Chenin Blanc","Country","Margaret River","","","95
94","750ml","2024","Margaret River",""
